,B001E4KFG0,B00813GRG4,B000LQOCH0,B000UA0QIQ,B006K2ZZ7K,B000E7L2R4,B00171APVA,B0001PB9FE,B0009XLVG0,B001GVISJM,B00144C10S,B0001PB9FY,B003F6UO7K,B001EO5QW8
A1CZX3CP8IKQIJ,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
A3KLWF6WQ5BNYO,,,,,,,,,,"LOW:0.8
MEDIUM:0.2
HIGH:0.0
",,,,
AFKW14U97Z6QO,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
A2A9X58G2GTBLP,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
A3IV7CL2C13K2U,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
A1WO0KGLPR5PV6,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
AZOF9E17RGZH8,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
ARYVQL4N737A1,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
AJ613OLZZUG7V,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
A22P2J09NJ9HKE,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
A3FONPR03H3PJS,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
A3RXAU2N8KV45G,,,,,,,,,,"LOW:1.0
MEDIUM:0.0
HIGH:0.0
",,,,
AAAS38B98HMIK,,,,,,,,,,"LOW:0.0
MEDIUM:0.2
HIGH:0.8
",,,,
A2F4LZVGFLD1OB,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
","LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,
AFM0O9480F04W,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",
A31OQO709M20Y7,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",
AOVROBZ8BNTP7,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.2
HIGH:0.8
"
A3PMM0NFVEJGK9,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.2
HIGH:0.8
"
A2EB6OGOWCRU5H,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
A2CI0RLADCRKPF,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.2
HIGH:0.8
"
A1MYS9LFFBIYKM,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
A3MGP2E1ZZ6GRB,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
A2GHZ2UTV2B0CD,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.2
HIGH:0.8
"
AO80AC8313NIZ,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
AQCY5KRO7489S,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
A1WK4ALVZDYPUE,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
A16XFOYQSJREL7,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
A17DW6SUOC70DJ,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
A2G7B7FKP2O2PU,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
A39Z97950MCTQE,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:1.0
HIGH:0.0
"
AQLL2R1PPR46X,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
"
A26AY1TFK8BQXQ,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:1.0
HIGH:0.0
"
ALOR97KTZTK1P,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:0.2
HIGH:0.8
"
A276999Y6VRSCQ,,,,,,,,,,,,,,"LOW:0.0
MEDIUM:1.0
HIGH:0.0
"
